url,texto,o_que_e,o_que_vai_mudar,que_vantagens_traz,quando_entra_em_vigor,identificacao_diploma
https://data.dre.pt/eli/dec-lei/137/2023/12/29/p/dre/pt/html,"O que é?
Este decreto-lei altera as estruturas remuneratórias aplicáveis aos trabalhadores médicos integrados na carreira especial médica, bem como aos médicos internos.
O que vai mudar?
São revistas as tabelas remuneratórias da carreira especial médica, incluindo os regimes transitórios das 42 e das 35 horas com dedicação exclusiva e de tempo completo a que correspondem 35 horas semanais.
Ajusta-se a estrutura remuneratória à tabela remuneratória única e procede-se à alteração da remuneração dos médicos internos que realizam o internato médico.
Para o efeito, os trabalhadores médicos são reposicionados na mesma categoria e posição remuneratória.
No que respeita aos regimes transitórios, considera-se que a posição remuneratória corresponde ao anterior escalão detido.
Quanto aos médicos internos, o reposicionamento opera-se em função da fase e ano de formação que se encontrem a frequentar.
Que vantagens traz?
Este decreto-lei promove a valorização de todos os médicos, incluindo internos, bem como a capacitação e rejuvenescimento da carreira especial médica.
Quando entra em vigor?
O presente decreto-lei entra em vigor no dia 30 de dezembro de 2023 e produz efeitos a 1 de janeiro de 2024.","Este decreto-lei altera as estruturas remuneratórias aplicáveis aos trabalhadores médicos integrados na carreira especial médica, bem como aos médicos internos.","São revistas as tabelas remuneratórias da carreira especial médica, incluindo os regimes transitórios das 42 e das 35 horas com dedicação exclusiva e de tempo completo a que correspondem 35 horas semanais.
Ajusta-se a estrutura remuneratória à tabela remuneratória única e procede-se à alteração da remuneração dos médicos internos que realizam o internato médico.
Para o efeito, os trabalhadores médicos são reposicionados na mesma categoria e posição remuneratória.
No que respeita aos regimes transitórios, considera-se que a posição remuneratória corresponde ao anterior escalão detido.
Quanto aos médicos internos, o reposicionamento opera-se em função da fase e ano de formação que se encontrem a frequentar.","Este decreto-lei promove a valorização de todos os médicos, incluindo internos, bem como a capacitação e rejuvenescimento da carreira especial médica.",O presente decreto-lei entra em vigor no dia 30 de dezembro de 2023 e produz efeitos a 1 de janeiro de 2024.,"Decreto-Lei n.º 137/2023, de 29 de dezembro"
https://data.dre.pt/eli/dec-lei/136/2023/12/29/p/dre/pt/html,"O que é?
Este decreto-lei simplifica a alteração dos projetos de equipamentos sociais financiados pelo Plano de Recuperação e Resiliência (PRR) e pelo Programa de Alargamento da Rede de Equipamentos Sociais (PARES).
O que vai mudar?
É alterado o regime de instalação, funcionamento e fiscalização dos estabelecimentos em que são prestados serviços de apoio às pessoas e às famílias, direcionados a crianças e jovens, pessoas idosas, pessoas com deficiência e pessoas vulneráveis:
Os equipamentos sociais financiados no âmbito dos PRR e PARES podem entrar em funcionamento com a emissão da autorização de utilização e consideram-se concluídos designadamente para celebração de acordos de cooperação.
A anterior vistoria do Instituto da Segurança Social, I. P. (ISS, I. P.), passa a ser uma visita e realiza-se em data articulada com a entidade. A possibilidade de o ISS, I. P., poder deduzir oposição à entrada em funcionamento apenas pode ocorrer em caso de irregularidades na resposta social.
Simples comunicação ao ISS, I. P., designadamente no caso de alterações relativas ao aumento de capacidade máxima da resposta social.
Dispensa de nova apreciação do ISS, I. P., relativamente a alteração de projetos financiados no âmbito dos PRR e PARES, que se encontrem em curso, quanto a projetos de arquitetura ou de execução.
Que vantagens traz?
As medidas simplificam o início do funcionamento dos estabelecimentos de apoio social e a alteração e tramitação dos projetos de equipamentos sociais financiados pelos Programas PARES e PRR, alargando a capacidade de resposta, sem pôr em causa as condições de segurança e qualidade dos serviços prestados aos beneficiários.
Quando entra em vigor?
Este decreto-lei entra em vigor no dia 30 de dezembro de 2023.",Este decreto-lei simplifica a alteração dos projetos de equipamentos sociais financiados pelo Plano de Recuperação e Resiliência (PRR) e pelo Programa de Alargamento da Rede de Equipamentos Sociais (PARES).,"É alterado o regime de instalação, funcionamento e fiscalização dos estabelecimentos em que são prestados serviços de apoio às pessoas e às famílias, direcionados a crianças e jovens, pessoas idosas, pessoas com deficiência e pessoas vulneráveis:
Os equipamentos sociais financiados no âmbito dos PRR e PARES podem entrar em funcionamento com a emissão da autorização de utilização e consideram-se concluídos designadamente para celebração de acordos de cooperação.
A anterior vistoria do Instituto da Segurança Social, I. P. (ISS, I. P.), passa a ser uma visita e realiza-se em data articulada com a entidade. A possibilidade de o ISS, I. P., poder deduzir oposição à entrada em funcionamento apenas pode ocorrer em caso de irregularidades na resposta social.
Simples comunicação ao ISS, I. P., designadamente no caso de alterações relativas ao aumento de capacidade máxima da resposta social.
Dispensa de nova apreciação do ISS, I. P., relativamente a alteração de projetos financiados no âmbito dos PRR e PARES, que se encontrem em curso, quanto a projetos de arquitetura ou de execução.","As medidas simplificam o início do funcionamento dos estabelecimentos de apoio social e a alteração e tramitação dos projetos de equipamentos sociais financiados pelos Programas PARES e PRR, alargando a capacidade de resposta, sem pôr em causa as condições de segurança e qualidade dos serviços prestados aos beneficiários.",Este decreto-lei entra em vigor no dia 30 de dezembro de 2023.,"Decreto-Lei n.º 136/2023, de 29 de dezembro"
https://data.dre.pt/eli/dec-lei/139/2023/12/29/p/dre/pt/html,"O que é?
Este decreto-lei altera o regime do Fundo de Apoio ao Turismo e ao Cinema (FATC).
O que vai mudar?
Estende-se a duração do FATC até 2026, garantindo-se a continuidade do incentivo à produção cinematográfica e audiovisual.
Permite-se o reforço anual do FATC, nomeadamente através de transferências do programa orçamental da cultura e da utilização de saldos de gerência do programa orçamental da economia.
Que vantagens traz?
A continuidade do incentivo promove a dinamização do turismo, a captação de filmagens internacionais e o desenvolvimento da produção cinematográfica e audiovisual em Portugal, conferindo uma maior capacidade de investimento às produtoras nacionais, atraindo produtoras internacionais e dinamizando o mercado de trabalho e de prestação de vários serviços na área do cinema e do audiovisual.
Quando entra em vigor?
Este decreto-lei entra em vigor no dia 30 de dezembro de 2023.",Este decreto-lei altera o regime do Fundo de Apoio ao Turismo e ao Cinema (FATC).,"Estende-se a duração do FATC até 2026, garantindo-se a continuidade do incentivo à produção cinematográfica e audiovisual.
Permite-se o reforço anual do FATC, nomeadamente através de transferências do programa orçamental da cultura e da utilização de saldos de gerência do programa orçamental da economia.","A continuidade do incentivo promove a dinamização do turismo, a captação de filmagens internacionais e o desenvolvimento da produção cinematográfica e audiovisual em Portugal, conferindo uma maior capacidade de investimento às produtoras nacionais, atraindo produtoras internacionais e dinamizando o mercado de trabalho e de prestação de vários serviços na área do cinema e do audiovisual.",Este decreto-lei entra em vigor no dia 30 de dezembro de 2023.,"Decreto-Lei n.º 139/2023, de 29 de dezembro"
https://data.dre.pt/eli/dec-lei/135/2023/12/29/p/dre/pt/html,"O que é?
Este decreto-lei altera o regime que regulamenta e desenvolve o regime jurídico da identificação criminal.
O que vai mudar?
Consagra-se a possibilidade de os serviços de identificação criminal utilizarem os seus próprios servidores ou os servidores de outras entidades sob a tutela do Ministério da Justiça.
Os ficheiros informáticos do Sistema de Informação de Identificação Criminal (SICRIM) estão localizados nos próprios servidores do Ministério da Justiça, cabendo ao Instituto de Gestão Financeira e Equipamentos da Justiça, I. P., prestar o apoio técnico ao sistema de informação.
Que vantagens traz?
Este decreto-lei, ao promover a partilha dos meios existentes entre as entidades sob tutela do Ministério da Justiça, garante uma utilização mais racional dos recursos, promove uma poupança de despesa e um melhor aproveitamento dos recursos disponíveis.
Quando entra em vigor?
O presente decreto-lei entra em vigor no dia 28 de janeiro de 2024.",Este decreto-lei altera o regime que regulamenta e desenvolve o regime jurídico da identificação criminal.,"Consagra-se a possibilidade de os serviços de identificação criminal utilizarem os seus próprios servidores ou os servidores de outras entidades sob a tutela do Ministério da Justiça.
Os ficheiros informáticos do Sistema de Informação de Identificação Criminal (SICRIM) estão localizados nos próprios servidores do Ministério da Justiça, cabendo ao Instituto de Gestão Financeira e Equipamentos da Justiça, I. P., prestar o apoio técnico ao sistema de informação.","Este decreto-lei, ao promover a partilha dos meios existentes entre as entidades sob tutela do Ministério da Justiça, garante uma utilização mais racional dos recursos, promove uma poupança de despesa e um melhor aproveitamento dos recursos disponíveis.",O presente decreto-lei entra em vigor no dia 28 de janeiro de 2024.,"Decreto-Lei n.º 135/2023, de 29 de dezembro"
https://data.dre.pt/eli/dec-lei/134/2023/12/28/p/dre/pt/html,"O que é?
Este decreto-lei cria o prémio salarial de valorização das qualificações no mercado de trabalho (prémio salarial).
O que vai mudar?
Os licenciados e mestres passam a ter direito a receber anualmente um prémio salarial no valor de 697 euros por cada ano de licenciatura e 1500 euros por cada ano de mestrado.
O prémio salarial é atribuído anualmente, pelo número de anos de trabalho equivalente à duração regular do ciclo de estudos concluído.
Para a atribuição do prémio é necessário reunir as seguintes condições:
Ter até 35 anos de idade;
Ser residente em território nacional;
Ser contribuinte com rendimentos nas categorias A e/ou B do IRS; e
Ter obtido, nos anos de 2023 e seguintes, grau de licenciado e/ou mestre, em qualquer área científica (inclui graus académicos estrangeiros equivalentes aos graus portugueses).
Os beneficiários que tenham concluído o grau académico antes de 2023 têm direito ao prémio pelo número de anos remanescente, desde que o número de anos subsequente à atribuição daquele grau académico seja inferior ao número de anos equivalentes ao ciclo de estudos respetivo.
As condições são verificadas anualmente.
O prémio salarial é requerido pelo beneficiário em formulário eletrónico e pago pela Autoridade Tributária e Aduaneira, por transferência bancária para o IBAN constante dos respetivos sistemas.
Que vantagens traz?
A medida constitui uma recompensa pelo prosseguimento de estudos superiores e contribui para a valorização dos rendimentos dos jovens qualificados que trabalham no País.
Quando entra em vigor?
Este decreto-lei entra em vigor no dia 29 de dezembro de 2023.",Este decreto-lei cria o prémio salarial de valorização das qualificações no mercado de trabalho (prémio salarial).,"Os licenciados e mestres passam a ter direito a receber anualmente um prémio salarial no valor de 697 euros por cada ano de licenciatura e 1500 euros por cada ano de mestrado.
O prémio salarial é atribuído anualmente, pelo número de anos de trabalho equivalente à duração regular do ciclo de estudos concluído.
Para a atribuição do prémio é necessário reunir as seguintes condições:
Ter até 35 anos de idade;
Ser residente em território nacional;
Ser contribuinte com rendimentos nas categorias A e/ou B do IRS; e
Ter obtido, nos anos de 2023 e seguintes, grau de licenciado e/ou mestre, em qualquer área científica (inclui graus académicos estrangeiros equivalentes aos graus portugueses).
Os beneficiários que tenham concluído o grau académico antes de 2023 têm direito ao prémio pelo número de anos remanescente, desde que o número de anos subsequente à atribuição daquele grau académico seja inferior ao número de anos equivalentes ao ciclo de estudos respetivo.
As condições são verificadas anualmente.
O prémio salarial é requerido pelo beneficiário em formulário eletrónico e pago pela Autoridade Tributária e Aduaneira, por transferência bancária para o IBAN constante dos respetivos sistemas.",A medida constitui uma recompensa pelo prosseguimento de estudos superiores e contribui para a valorização dos rendimentos dos jovens qualificados que trabalham no País.,Este decreto-lei entra em vigor no dia 29 de dezembro de 2023.,"Decreto-Lei n.º 134/2023, de 28 de dezembro"
https://data.dre.pt/eli/dec-lei/133/2023/12/28/p/dre/pt/html,"O que é?
Este decreto-lei estabelece o regime das carreiras especiais de informações e das carreiras especiais de apoio à atividade de informações dos trabalhadores do Sistema de Informações da República Portuguesa (SIRP).
O que vai mudar?
Este decreto-lei aplica-se aos trabalhadores integrados nas carreiras especiais de informações e nas carreiras especiais de apoio à atividade de informações do Serviço de Informações de Segurança (SIS), do Serviço de Informações Estratégicas de Defesa (SIED) e das Estruturas Comuns.
O pessoal das carreiras especiais do SIRP exerce funções em regime de nomeação.
Existe um período experimental dos trabalhadores recrutados para as carreiras especiais do SIRP com a duração de um ano.
Carreiras especiais
No âmbito dos dois serviços de informações, SIS e SIED, são criadas duas carreiras especiais de informações, com diferentes graus de complexidade funcional (3 e 2):
a) Carreira especial de oficial de informações, que se estrutura nas categorias oficial de informações e oficial superior de informações;
b) Carreira especial de oficial adjunto de informações, que se estrutura nas categorias oficial adjunto de informações e oficial adjunto especialista de informações.
No quadro das Estruturas Comuns ao SIS e ao SIED, criam-se as seguintes carreiras, com diferentes graus de complexidade (também graus 3 e 2):
a) Carreira especial de técnico superior de apoio à atividade de informações;
b) Carreira especial de técnico adjunto de apoio à atividade de informações;
c) Carreira especial de técnico de segurança de apoio à atividade de informações;
d) Carreira especial de auxiliar de apoio à atividade de informações.
Transição dos trabalhadores
Definem-se as regras para a transição do pessoal que hoje integra os corpos especiais a rever.
A transição para as novas carreiras especiais é notificada a cada um dos trabalhadores e publicitada internamente por afixação nos respetivos serviços, bem como inserção na página eletrónica interna do SIRP.
Ao transitarem para as novas carreiras os trabalhadores são reposicionados na posição remuneratória da respetiva carreira ou categoria a que corresponda um nível remuneratório de montante imediatamente seguinte à remuneração base mensal a que têm direito à data da entrada em vigor do presente decreto-lei.
O tempo de serviço prestado nas carreiras extintas e as menções qualitativas decorrentes do processos de avaliação de desempenho anteriores relevam para todos os efeitos nas novas carreiras.
Que vantagens traz?
Este decreto-lei, ao proceder à revisão de carreiras dos corpos especiais dos serviços que integram o SIRP, vem complementar, em matéria de regime de carreira, remuneratório e de avaliação do desempenho, a lei que rege as carreiras dos seus corpos especiais.
Quando entra em vigor?
O presente decreto-lei entra em vigor no dia 1 de janeiro de 2024.",Este decreto-lei estabelece o regime das carreiras especiais de informações e das carreiras especiais de apoio à atividade de informações dos trabalhadores do Sistema de Informações da República Portuguesa (SIRP).,"Este decreto-lei aplica-se aos trabalhadores integrados nas carreiras especiais de informações e nas carreiras especiais de apoio à atividade de informações do Serviço de Informações de Segurança (SIS), do Serviço de Informações Estratégicas de Defesa (SIED) e das Estruturas Comuns.
O pessoal das carreiras especiais do SIRP exerce funções em regime de nomeação.
Existe um período experimental dos trabalhadores recrutados para as carreiras especiais do SIRP com a duração de um ano.
Carreiras especiais
No âmbito dos dois serviços de informações, SIS e SIED, são criadas duas carreiras especiais de informações, com diferentes graus de complexidade funcional (3 e 2):
a) Carreira especial de oficial de informações, que se estrutura nas categorias oficial de informações e oficial superior de informações;
b) Carreira especial de oficial adjunto de informações, que se estrutura nas categorias oficial adjunto de informações e oficial adjunto especialista de informações.
No quadro das Estruturas Comuns ao SIS e ao SIED, criam-se as seguintes carreiras, com diferentes graus de complexidade (também graus 3 e 2):
a) Carreira especial de técnico superior de apoio à atividade de informações;
b) Carreira especial de técnico adjunto de apoio à atividade de informações;
c) Carreira especial de técnico de segurança de apoio à atividade de informações;
d) Carreira especial de auxiliar de apoio à atividade de informações.
Transição dos trabalhadores
Definem-se as regras para a transição do pessoal que hoje integra os corpos especiais a rever.
A transição para as novas carreiras especiais é notificada a cada um dos trabalhadores e publicitada internamente por afixação nos respetivos serviços, bem como inserção na página eletrónica interna do SIRP.
Ao transitarem para as novas carreiras os trabalhadores são reposicionados na posição remuneratória da respetiva carreira ou categoria a que corresponda um nível remuneratório de montante imediatamente seguinte à remuneração base mensal a que têm direito à data da entrada em vigor do presente decreto-lei.
O tempo de serviço prestado nas carreiras extintas e as menções qualitativas decorrentes do processos de avaliação de desempenho anteriores relevam para todos os efeitos nas novas carreiras.","Este decreto-lei, ao proceder à revisão de carreiras dos corpos especiais dos serviços que integram o SIRP, vem complementar, em matéria de regime de carreira, remuneratório e de avaliação do desempenho, a lei que rege as carreiras dos seus corpos especiais.",O presente decreto-lei entra em vigor no dia 1 de janeiro de 2024.,"Decreto-Lei n.º 133/2023, de 28 de dezembro"
https://data.dre.pt/eli/dec-lei/132/2023/12/27/p/dre/pt/html,"O que é?
Este decreto-lei estabelece o mecanismo de compensação aos senhorios e os limites de renda a fixar nos contratos de arrendamento para habitação celebrados antes de 18 de novembro de 1990, na sequência da não transição desses contratos para o Novo Regime do Arrendamento Urbano (NRAU).
O que vai mudar?
Nos contratos de arrendamento para habitação celebrados antes de 18 de novembro de 1990:
O valor da renda dos contratos de arrendamento para habitação abrangidos não pode ser superior ao que se encontra definido à data da entrada em vigor do diploma (28 de dezembro de 2023), sem prejuízo da respetiva atualização legal nos termos gerais do NRAU;
O senhorio tem direito a uma compensação, sempre que o valor da renda mensal seja inferior a 1/15 do valor patrimonial tributário (VPT) do imóvel, fracionado em 12 meses.
O montante da compensação corresponde à diferença entre o valor da renda mensal devida à data da entrada em vigor do diploma e o valor correspondente a 1/15 do VPT do imóvel, fracionado em 12 meses.
A compensação deve ser solicitada pelo senhorio ao Instituto da Habitação e da Reabilitação Urbana, I. P. (IHRU, I. P.), a partir de 1 de julho de 2024, que decide no prazo de 30 dias.
A compensação está isenta de IRS e de contribuições para a segurança social.
Os subsídios de renda já atribuídos ao abrigo do anterior regime mantêm-se e podem ser renovados.
Que vantagens traz?
A medida contribui para a regulação do mercado habitacional, salvaguardando os arrendatários em situação de carência económica ou com idade igual ou superior a 65 anos ou com incapacidade superior a 60 % e compensando os respetivos senhorios pela limitação do valor das rendas.
Quando entra em vigor?
Este decreto-lei entra em vigor no dia 28 de dezembro de 2023.","Este decreto-lei estabelece o mecanismo de compensação aos senhorios e os limites de renda a fixar nos contratos de arrendamento para habitação celebrados antes de 18 de novembro de 1990, na sequência da não transição desses contratos para o Novo Regime do Arrendamento Urbano (NRAU).","Nos contratos de arrendamento para habitação celebrados antes de 18 de novembro de 1990:
O valor da renda dos contratos de arrendamento para habitação abrangidos não pode ser superior ao que se encontra definido à data da entrada em vigor do diploma (28 de dezembro de 2023), sem prejuízo da respetiva atualização legal nos termos gerais do NRAU;
O senhorio tem direito a uma compensação, sempre que o valor da renda mensal seja inferior a 1/15 do valor patrimonial tributário (VPT) do imóvel, fracionado em 12 meses.
O montante da compensação corresponde à diferença entre o valor da renda mensal devida à data da entrada em vigor do diploma e o valor correspondente a 1/15 do VPT do imóvel, fracionado em 12 meses.
A compensação deve ser solicitada pelo senhorio ao Instituto da Habitação e da Reabilitação Urbana, I. P. (IHRU, I. P.), a partir de 1 de julho de 2024, que decide no prazo de 30 dias.
A compensação está isenta de IRS e de contribuições para a segurança social.
Os subsídios de renda já atribuídos ao abrigo do anterior regime mantêm-se e podem ser renovados.","A medida contribui para a regulação do mercado habitacional, salvaguardando os arrendatários em situação de carência económica ou com idade igual ou superior a 65 anos ou com incapacidade superior a 60 % e compensando os respetivos senhorios pela limitação do valor das rendas.",Este decreto-lei entra em vigor no dia 28 de dezembro de 2023.,"Decreto-Lei n.º 132/2023, de 27 de dezembro"
https://data.dre.pt/eli/dec-lei/131/2023/12/27/p/dre/pt/html,"O que é?
Este decreto-lei estende o mecanismo temporário de gasóleo profissional extraordinário (GPE) até ao dia 30 de junho de 2024 e o regime transitório para a atribuição do subsídio social de mobilidade (SSM) até ao dia 31 de julho de 2024.
O que vai mudar?
O mecanismo temporário de gasóleo profissional extraordinário (GPE), que possibilita a devolução de montante suportado pelas empresas de transporte de mercadorias por conta de outrem, continua a aplicar-se até junho de 2024.
Este mecanismo só é aplicável a abastecimentos elegíveis até ao limite máximo de 50 000 litros anuais por viatura.
O regime transitório para a atribuição do subsídio social de mobilidade (SSM), no âmbito dos serviços aéreos e marítimos entre o continente e Madeira e entre este e os Açores, também se mantém em aplicação até 31 de julho de 2024.
Que vantagens traz?
Este decreto-lei estende o prazo de aplicação de um conjunto de medidas implementadas com o objetivo de mitigar o impacto da subida dos preços dos combustíveis nos operadores de transportes.
Quando entra em vigor?
Este Decreto-Lei entra em vigor no dia 28 de dezembro de 2023.",Este decreto-lei estende o mecanismo temporário de gasóleo profissional extraordinário (GPE) até ao dia 30 de junho de 2024 e o regime transitório para a atribuição do subsídio social de mobilidade (SSM) até ao dia 31 de julho de 2024.,"O mecanismo temporário de gasóleo profissional extraordinário (GPE), que possibilita a devolução de montante suportado pelas empresas de transporte de mercadorias por conta de outrem, continua a aplicar-se até junho de 2024.
Este mecanismo só é aplicável a abastecimentos elegíveis até ao limite máximo de 50 000 litros anuais por viatura.
O regime transitório para a atribuição do subsídio social de mobilidade (SSM), no âmbito dos serviços aéreos e marítimos entre o continente e Madeira e entre este e os Açores, também se mantém em aplicação até 31 de julho de 2024.",Este decreto-lei estende o prazo de aplicação de um conjunto de medidas implementadas com o objetivo de mitigar o impacto da subida dos preços dos combustíveis nos operadores de transportes.,Este Decreto-Lei entra em vigor no dia 28 de dezembro de 2023.,"Decreto-Lei n.º 131/2023, de 27 de dezembro"
https://data.dre.pt/eli/dec-lei/130/2023/12/27/p/dre/pt/html,"O que é?
Este decreto-lei cria um apoio extraordinário à renda suportada por docentes colocados em agrupamentos de escolas e escolas não agrupadas.
O que vai mudar?
Cria-se um apoio extraordinário, que se aplica às rendas suportadas a partir de 1 de setembro de 2023.
Quem pode beneficiar deste apoio?
Podem beneficiar os educadores de infância e os professores dos ensinos básico e secundário colocados nos agrupamentos de escolas e escolas não agrupadas que, cumulativamente:
Sejam colocados em estabelecimento de educação ou ensino dos quadros de zona pedagógica das regiões do Algarve ou de Lisboa e Vale do Tejo não correspondentes ao do seu domicílio fiscal, a uma distância mínima de 70km, em linha reta, do seu domicílio fiscal;
Tenham contrato de arrendamento ou subarrendamento de habitação, ou parte de habitação, não permanente, destinada ao cumprimento das funções profissionais, arrendada num raio igual ou inferior a 70 km, em linha reta do estabelecimento de educação ou ensino onde exercem funções;
Estejam posicionados até ao sétimo escalão, inclusive, da carreira docente;
Tenham uma taxa de esforço igual ou superior a 35 % do seu rendimento médio mensal com os encargos mensais com a habitação permanente e com o pagamento das rendas da habitação, ou parte da habitação, não permanente.
O apoio extraordinário à renda é mensal, pago até ao dia 20 de cada mês e corresponde a uma percentagem do valor da renda mensal.
Para efeitos do cálculo do valor do apoio são contabilizados não apenas a renda mensal suportada com a habitação não permanente, mas também os encargos com a habitação permanente referentes ao pagamento de renda ou de crédito à habitação.
A candidatura a este apoio é efetuada no sítio da Internet da Direção-Geral da Administração Escolar (DGAE), e no portal único de serviços, sendo efetuadas todas as comunicações e notificações por correio eletrónico ou notificação eletrónica.
Que vantagens traz?
Este decreto-lei, ao criar o apoio extraordinário, permite mitigar o esforço financeiro adicional que os docentes colocados nos agrupamentos de escolas e escolas não agrupadas nas regiões do Algarve ou de Lisboa e Vale do Tejo, a uma distância superior a 70 km da sua residência, são obrigados a suportar com uma habitação secundária.
Quando entra em vigor?
O presente decreto-lei entra em vigor no dia 28 de dezembro de 2023 e vigora até 31 de dezembro de 2025.",Este decreto-lei cria um apoio extraordinário à renda suportada por docentes colocados em agrupamentos de escolas e escolas não agrupadas.,"Cria-se um apoio extraordinário, que se aplica às rendas suportadas a partir de 1 de setembro de 2023.
Quem pode beneficiar deste apoio?
Podem beneficiar os educadores de infância e os professores dos ensinos básico e secundário colocados nos agrupamentos de escolas e escolas não agrupadas que, cumulativamente:
Sejam colocados em estabelecimento de educação ou ensino dos quadros de zona pedagógica das regiões do Algarve ou de Lisboa e Vale do Tejo não correspondentes ao do seu domicílio fiscal, a uma distância mínima de 70km, em linha reta, do seu domicílio fiscal;
Tenham contrato de arrendamento ou subarrendamento de habitação, ou parte de habitação, não permanente, destinada ao cumprimento das funções profissionais, arrendada num raio igual ou inferior a 70 km, em linha reta do estabelecimento de educação ou ensino onde exercem funções;
Estejam posicionados até ao sétimo escalão, inclusive, da carreira docente;
Tenham uma taxa de esforço igual ou superior a 35 % do seu rendimento médio mensal com os encargos mensais com a habitação permanente e com o pagamento das rendas da habitação, ou parte da habitação, não permanente.
O apoio extraordinário à renda é mensal, pago até ao dia 20 de cada mês e corresponde a uma percentagem do valor da renda mensal.
Para efeitos do cálculo do valor do apoio são contabilizados não apenas a renda mensal suportada com a habitação não permanente, mas também os encargos com a habitação permanente referentes ao pagamento de renda ou de crédito à habitação.
A candidatura a este apoio é efetuada no sítio da Internet da Direção-Geral da Administração Escolar (DGAE), e no portal único de serviços, sendo efetuadas todas as comunicações e notificações por correio eletrónico ou notificação eletrónica.","Este decreto-lei, ao criar o apoio extraordinário, permite mitigar o esforço financeiro adicional que os docentes colocados nos agrupamentos de escolas e escolas não agrupadas nas regiões do Algarve ou de Lisboa e Vale do Tejo, a uma distância superior a 70 km da sua residência, são obrigados a suportar com uma habitação secundária.",O presente decreto-lei entra em vigor no dia 28 de dezembro de 2023 e vigora até 31 de dezembro de 2025.,"Decreto-Lei n.º 130/2023, de 27 de dezembro"
https://data.dre.pt/eli/dec-lei/129/2023/12/26/p/dre/pt/html,"O que é?
Este decreto-lei altera algumas secções especializadas do Conselho Nacional de Cultura.
O que vai mudar?
Na sequência da reorganização da Direção-Geral do Património Cultural (DGPC), é alterado o regime de constituição e funcionamento do Conselho Nacional de Cultura, designadamente ao nível da constituição e competências de duas das suas secções especializadas, a saber:
A secção especializada dos museus, da conservação e restauro e do património cultural móvel (anterior secção dos museus, da conservação e restauro e do património imaterial); e
A secção do património arquitetónico, arqueológico e imaterial (anterior secção do património arquitetónico e arqueológico).
A título de exemplo:
A secção especializada dos museus, da conservação e restauro e do património cultural móvel passa a ser presidida pelo presidente do conselho de administração da Museus e Monumentos de Portugal, E. P. E., e a dar parecer sobre a desclassificação como arquivo de interesse nacional e outros registos de inventários museológicos;
A secção do património arquitetónico, arqueológico e imaterial passa a ser presidida pelo presidente do conselho diretivo do Património Cultural, I. P., e a dar parecer sobre questões da política de salvaguarda e valorização do património imaterial.
Que vantagens traz?
A adaptação do Conselho Nacional de Cultura à existência de duas novas entidades – a Museus e Monumentos de Portugal, E. P. E., e o Património Cultural, I. P. – contribui para uma gestão mais integrada e eficaz do património cultural.
Quando entra em vigor?
Este decreto-lei entra em vigor no dia 27 de dezembro de 2023 e produz efeitos a 1 de janeiro de 2024.",Este decreto-lei altera algumas secções especializadas do Conselho Nacional de Cultura.,"Na sequência da reorganização da Direção-Geral do Património Cultural (DGPC), é alterado o regime de constituição e funcionamento do Conselho Nacional de Cultura, designadamente ao nível da constituição e competências de duas das suas secções especializadas, a saber:
A secção especializada dos museus, da conservação e restauro e do património cultural móvel (anterior secção dos museus, da conservação e restauro e do património imaterial); e
A secção do património arquitetónico, arqueológico e imaterial (anterior secção do património arquitetónico e arqueológico).
A título de exemplo:
A secção especializada dos museus, da conservação e restauro e do património cultural móvel passa a ser presidida pelo presidente do conselho de administração da Museus e Monumentos de Portugal, E. P. E., e a dar parecer sobre a desclassificação como arquivo de interesse nacional e outros registos de inventários museológicos;
A secção do património arquitetónico, arqueológico e imaterial passa a ser presidida pelo presidente do conselho diretivo do Património Cultural, I. P., e a dar parecer sobre questões da política de salvaguarda e valorização do património imaterial.","A adaptação do Conselho Nacional de Cultura à existência de duas novas entidades – a Museus e Monumentos de Portugal, E. P. E., e o Património Cultural, I. P. – contribui para uma gestão mais integrada e eficaz do património cultural.",Este decreto-lei entra em vigor no dia 27 de dezembro de 2023 e produz efeitos a 1 de janeiro de 2024.,"Decreto-Lei n.º 129/2023, de 26 de dezembro"
